chembl_id,smiles,inchikey,n_groups,group_sizes
CHEMBL6344,Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1C(=O)c1ccc(Cl)cc1Cl,LXXPLXZEGKRZIQ-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL7160,N[C@@H]1CCc2c(ccc(O)c2O)[C@H]1O,RJQPTDPYKKHYSV-VXNVDRBHSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6723,CNc1ncnc2c1ncn2Cc1ccc(F)cc1F,AZSXWEMWCMBJQH-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL6812,Cc1c(NC(=O)Cc2ccc(Cl)c(Cl)c2)ccc2nc(N)nc(N)c12,CERIHBDDMDRFHT-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL6746,Brc1cccc2c3c([nH]c12)C=NCC3,BHLUQLWTEJKCOP-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6835,COCc1c2ccoc2c(OC)c2oc(=O)ccc12,ADISAXBOSWJNRL-UHFFFAOYSA-N,8,3;3;1;1;1;1;1;1
CHEMBL6976,COc1cc2c(cc1OC)Nc1ncn(C)c(=O)c1C2,ZTVYMXRRHFGHRV-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL6773,Nc1ncnc2c1ncn2Cc1ccccc1F,DDRKFOWGDSOKQT-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6841,Nc1nc(N)c2c(Cl)c(NC(=O)Cc3ccc(Br)cc3)ccc2n1,MINDYFBVVHNJDO-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6928,Nc1nc(N)c2c(Cl)c(NC(=O)Cc3ccc(Cl)cc3)ccc2n1,PVGNFORRRHIFDY-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL7142,Cn1c2ccccc2n2c(=O)c(-c3cccs3)nnc12,NFPMWVSRTRIRJL-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL6628,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,ODKNJVUHOIMIIZ-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL3310046,CCn1c(=O)c2ccccc2n2nc(SC)nc12,VOQCPZHIMHMLAU-UHFFFAOYSA-N,8,3;3;1;1;1;1;1;1
CHEMBL3310238,Cc1nc(NC(=O)c2ccc3c(c2)OCO3)c(C)c(C)c1O,AGWAFUIZCQOQKP-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL6808,CC1CCN=C(N)C1,GGDLOMFAKKVDPT-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL6830,Cc1ccc(Sc2cncc3sc(C(N)=O)cc23)c(C)c1,QFOXETVRYKJOAL-UHFFFAOYSA-N,8,3;3;1;1;1;1;1;1
CHEMBL6854,CNc1ncnc2c1ncn2Cc1cccc(F)c1F,YSDYPDMDMYEXPY-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
