chembl_id,smiles,inchikey,n_groups,group_sizes
CHEMBL504184,O=C(O)[C@H]1C[C@@H](O)CCN1,KRHNXNZBLHHEIU-CRCLSJGQSA-N,8,1;1;1;1;1;1;1;1
CHEMBL503623,Cc1cc2c(c(=O)[nH]1)C(=O)O/C2=C\c1cc2ccccc2s1,ZHWHAEPCMQSHKU-JYRVWZFOSA-N,8,3;1;1;1;1;1;1;1
CHEMBL501256,Nc1ncnc2c1ncn2CC(=O)c1cccnc1,REGWEYNSZPBUMQ-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL501136,COc1ccc(-c2nc3ccc(F)cc3o2)c(OC)c1,NXYWPSIXDZRKNY-UHFFFAOYSA-N,8,3;3;1;1;1;1;1;1
CHEMBL499823,COc1cccc(N2c3ccc(Cl)cc3S(=O)(=O)c3c(N)n[nH]c32)c1,YDLSYJWBFUYFOK-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL538639,CNc1ncnc2c1ncn2[C@@H]1OC[C@@H](O)[C@H]1O,ZLRVTHOKQKAERD-VISXPRAWSA-N,8,3;1;1;1;1;1;1;1
CHEMBL503376,Nc1ncnc2c1nc(Br)n2CCc1ccccc1,LQIMXMMBTNEKMZ-UHFFFAOYSA-N,8,2;2;1;1;1;1;1;1
CHEMBL603409,Cc1nc2c(s1)Cc1cccc(OCP(=O)(O)O)c1-2,DLAWXUQOWZHAQZ-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL540674,O=C(CC(S)C(F)(F)F)NC(Cc1ccc(O)cc1)C(=O)O,WNSYCMPKITTXAY-UHFFFAOYSA-N,8,2;2;1;1;1;1;1;1
CHEMBL580660,Clc1ccccc1CNc1noc(-c2sccc2Br)n1,PRXVKNGAZHJAPY-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL602115,Cc1nc(-c2c(Cl)cc(Cl)cc2-c2cnc([C@@H](C)NC(=O)N(C)O)c(F)c2)no1,WDZNDOBQLLBTGU-MRVPVSSYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL1076712,CCC(C)C(=O)c1c[nH]c(OC)c(OC)c1=O,FSOQXWGMTKOLCP-UHFFFAOYSA-N,8,3;3;3;3;1;1;1;1
CHEMBL1091683,CC(=O)N[C@H](CO)C(=O)NCc1ccc(N=C=S)cc1,RTDHMSQIVRLNHO-GFCCVEGCSA-N,8,3;2;2;1;1;1;1;1
CHEMBL1077381,Cc1ncn2c1Cn1ncnc1-c1cc(Cl)ccc1-2,FVIWEOUHYRAQKY-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL572743,CN(C)CCc1nc2c(sc3ccc(Cl)cc32)c(=O)[nH]1,RKJBOGXNNPWZEW-UHFFFAOYSA-N,8,6;1;1;1;1;1;1;1
CHEMBL609468,Cc1ccccc1NC(=O)Nc1ccc([N+](=O)[O-])cc1O,JDKDJPABXADLJT-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL1075896,Nc1nccc(-c2cnc3ccccc3c2)n1,LIRFQZJUPJPPCX-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL1093690,CC(=O)NCC[C@@H](NS(=O)(=O)c1ccc(Br)cc1)C(=O)NO,XXZNXULRAJJTRV-LLVKDONJSA-N,8,3;2;2;1;1;1;1;1
CHEMBL1171111,COC(=O)C1=C(C)Nc2n[nH]c(C)c2C1c1cccc(O)c1,VOPMDAKBODCVHG-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL1184808,C[n+]1c2cc(Cl)c(Cl)cc2cc2[nH]c3ccccc3c21,OCAQRIKVEUPKDU-UHFFFAOYSA-O,8,3;1;1;1;1;1;1;1
CHEMBL1162464,Nc1ncnc(=O)n1C[C@H]1COP(=O)(O)CO1,UAPFSERRGPQDPO-YFKPBYRVSA-N,8,1;1;1;1;1;1;1;1
CHEMBL1200714,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,WEQAYVWKMWHEJO-UHFFFAOYSA-N,8,3;2;2;1;1;1;1;1
CHEMBL1229215,NCCCO/N=C/c1cc(=O)[nH]c(=O)[nH]1,SFSUPOJXVWUHPD-BJMVGYQFSA-N,8,1;1;1;1;1;1;1;1
CHEMBL1187270,NC(CC(=O)O)C(O)C(O)C(N)CC(=O)O,SJDZSCFHDFZAHQ-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL1189963,Nc1ccc2c(c1)sc1c(Nc3cccc(Br)c3)ncnc12,VTCCFNSRHBUEKC-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL1214400,FC(F)(F)c1ccc(Nc2ccnc3nc(-c4ncc(Br)cc4C(F)(F)F)cnc23)nc1,BWYJOKHOAVCUHR-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6425,C/N=C(\NC1c2cc(C#N)ccc2OC(C)(C)[C@H]1O)NS(N)(=O)=O,IIHOTYSFXJVMKX-KIYNQFGBSA-N,8,3;3;3;1;1;1;1;1
CHEMBL1207158,O=C(/C=C/c1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)Nc1cccc(O)c1,AEXSAHUNXPPRNH-SNAWJCMRSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6415,O=C1NCCN(c2cccnc2)N1,STPWRBQEZQQXKR-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
